game_id,date,honest_home_prob,honest_pick,actual,honest_correct,home_rest_penalty,away_rest_penalty
20251223_20_17,20251223,0.65,home,away,False,0.0,-15.0
20251223_23_8,20251223,0.33793278189826803,away,away,True,-15.0,-46.0
20251223_30_27,20251223,0.5735641602135138,home,home,True,-46.0,-15.0
20251223_16_18,20251223,0.55,home,home,True,-15.0,-15.0
20251223_26_29,20251223,0.4254561157453459,away,away,True,-46.0,-46.0
20251223_11_15,20251223,0.4661806783884822,away,away,True,-46.0,-15.0
20251223_5_3,20251223,0.8715793233853343,home,home,True,-46.0,-46.0
20251225_25_24,20251225,0.8795106768038662,home,away,False,-15.0,-15.0
20251225_18_5,20251225,0.5950238376318229,home,home,True,-15.0,-15.0
20251225_13_10,20251225,0.55,home,away,False,-15.0,-15.0
20251225_9_6,20251225,0.8779794244714334,home,home,True,0.0,-15.0
20251225_7_16,20251225,0.9,home,home,True,-15.0,-15.0
20251226_1_14,20251226,0.5366696008850165,home,away,False,0.0,0.0
20251226_22_12,20251226,0.5237691364641797,home,away,False,0.0,0.0
20251226_26_8,20251226,0.20986049794211226,away,home,False,0.0,0.0
20251226_3_21,20251226,0.46964649845135187,away,away,True,0.0,0.0
20251226_4_20,20251226,0.55,home,home,True,0.0,0.0
20251226_29_15,20251226,0.40768175332912915,away,home,False,0.0,0.0
20251226_27_28,20251226,0.420929667000007,away,home,False,0.0,0.0
20251226_19_30,20251226,0.7903478283893712,home,away,False,0.0,0.0
20251226_11_2,20251226,0.34160359410024055,away,away,True,0.0,0.0
20251227_3_21,20251227,0.3661382006761097,away,away,True,-46.0,-46.0
20251227_23_6,20251227,0.55,home,home,True,0.0,-15.0
20251227_19_7,20251227,0.2799999999999999,away,home,False,-46.0,-15.0
20251228_13_23,20251228,0.8089849345139445,home,home,True,0.0,-46.0
20251228_22_2,20251228,0.27466643186784245,away,home,False,-15.0,-15.0
20251228_27_29,20251228,0.42170735705885154,away,home,False,-15.0,-15.0
20251228_25_20,20251228,0.9,home,home,True,0.0,-15.0
20251228_28_9,20251228,0.3164614013345194,away,home,False,-15.0,0.0
20251228_12_8,20251228,0.4662788734972322,away,home,False,-15.0,-15.0
20251229_4_16,20251229,0.4380875857653542,away,away,True,0.0,0.0
20251229_27_21,20251229,0.3644169133064262,away,away,True,-46.0,-15.0
20251229_22_6,20251229,0.55,home,away,False,-46.0,-15.0
20251229_14_7,20251229,0.2799999999999999,away,home,False,0.0,-15.0
20251229_25_1,20251229,0.9,home,home,True,-46.0,0.0
20251229_3_18,20251229,0.31907349137932106,away,away,True,-15.0,0.0
20251229_17_9,20251229,0.3496978065368408,away,away,True,0.0,-46.0
20251229_24_5,20251229,0.55,home,away,False,0.0,0.0
20251229_30_15,20251229,0.3579403906652642,away,away,True,0.0,0.0
20251229_10_11,20251229,0.7758103998471568,home,home,True,0.0,0.0
20251229_28_19,20251229,0.5109188111250749,home,home,True,-46.0,-15.0
20251230_13_8,20251230,0.55,home,away,False,-15.0,-15.0
20251230_29_20,20251230,0.55,home,away,False,-15.0,-15.0
