season,team_id,team_name,delta,source
2007,18,New York Knicks,-1.75,history
2007,19,Orlando Magic,-1.41,history
2007,20,Philadelphia 76ers,-9.25,history
2007,21,Phoenix Suns,-5.06,history
2007,22,Portland Trail Blazers,9.42,history
2007,23,Sacramento Kings,6.0,history
2007,24,San Antonio Spurs,-9.59,history
2007,25,Oklahoma City Thunder,-9.05,history
2007,26,Utah Jazz,13.22,history
2007,27,Washington Wizards,-5.24,history
2007,28,Toronto Raptors,6.82,history
2007,29,Memphis Grizzlies,21.51,history
2007,30,Charlotte Hornets,-1.88,history
2008,1,Atlanta Hawks,13.17,history
2008,2,Boston Celtics,16.23,history
2008,3,New Orleans Pelicans,-1.11,history
2008,4,Chicago Bulls,-1.72,history
2008,5,Cleveland Cavaliers,12.79,history
2008,6,Dallas Mavericks,7.6,history
2008,7,Denver Nuggets,-64.17,history
2008,8,Detroit Pistons,24.95,history
2008,9,Golden State Warriors,-33.78,history
2008,10,Houston Rockets,42.27,history
2008,11,Indiana Pacers,3.7,history
2008,12,LA Clippers,-12.57,history
2008,13,Los Angeles Lakers,3.86,history
2008,14,Miami Heat,9.14,history
2008,15,Milwaukee Bucks,3.13,history
2008,16,Minnesota Timberwolves,8.95,history
2008,17,Brooklyn Nets,-33.16,history
2008,18,New York Knicks,27.05,history
2008,19,Orlando Magic,9.63,history
2008,20,Philadelphia 76ers,39.42,history
2008,21,Phoenix Suns,-38.79,history
2008,22,Portland Trail Blazers,25.89,history
2008,23,Sacramento Kings,-29.12,history
2008,24,San Antonio Spurs,-30.2,history
2008,25,Oklahoma City Thunder,-19.56,history
2008,26,Utah Jazz,24.73,history
2008,27,Washington Wizards,-12.96,history
2008,28,Toronto Raptors,19.3,history
2008,29,Memphis Grizzlies,-27.78,history
2008,30,Charlotte Hornets,13.1,history
2009,1,Atlanta Hawks,-35.06,history
2009,2,Boston Celtics,3.62,history
2009,3,New Orleans Pelicans,18.3,history
2009,4,Chicago Bulls,19.2,history
2009,5,Cleveland Cavaliers,15.06,history
2009,6,Dallas Mavericks,49.99,history
2009,7,Denver Nuggets,14.55,history
2009,8,Detroit Pistons,-47.77,history
2009,9,Golden State Warriors,38.09,history
2009,10,Houston Rockets,-36.96,history
2009,11,Indiana Pacers,9.38,history
2009,12,LA Clippers,4.54,history
2009,13,Los Angeles Lakers,-47.03,history
2009,14,Miami Heat,-70.02,history
2009,15,Milwaukee Bucks,20.76,history
2009,16,Minnesota Timberwolves,37.68,history
2009,17,Brooklyn Nets,11.75,history
2009,18,New York Knicks,39.22,history
2009,19,Orlando Magic,6.26,history
2009,20,Philadelphia 76ers,-32.3,history
2009,21,Phoenix Suns,28.16,history
2009,22,Portland Trail Blazers,-10.59,history
2009,23,Sacramento Kings,-12.66,history
2009,24,San Antonio Spurs,-24.92,history
2009,25,Oklahoma City Thunder,6.1,history
2009,26,Utah Jazz,8.9,history
2009,27,Washington Wizards,10.01,history
2009,28,Toronto Raptors,-56.4,history
2009,29,Memphis Grizzlies,3.17,history
2009,30,Charlotte Hornets,28.96,history
2010,1,Atlanta Hawks,-1.12,history
2010,2,Boston Celtics,9.51,history
2010,3,New Orleans Pelicans,21.77,history
2010,4,Chicago Bulls,15.31,history
2010,5,Cleveland Cavaliers,-135.92,history
2010,6,Dallas Mavericks,10.39,history
2010,7,Denver Nuggets,-43.49,history
2010,8,Detroit Pistons,7.51,history
2010,9,Golden State Warriors,37.68,history
2010,10,Houston Rockets,26.07,history
2010,11,Indiana Pacers,17.87,history
2010,12,LA Clippers,-65.24,history
2010,13,Los Angeles Lakers,-28.61,history
2010,14,Miami Heat,169.84,history
2010,15,Milwaukee Bucks,2.07,history
2010,16,Minnesota Timberwolves,38.51,history
2010,17,Brooklyn Nets,53.75,history
2010,18,New York Knicks,55.33,history
2010,19,Orlando Magic,-56.35,history
2010,20,Philadelphia 76ers,-17.71,history
2010,21,Phoenix Suns,-56.49,history
2010,22,Portland Trail Blazers,5.16,history
2010,23,Sacramento Kings,15.89,history
2010,24,San Antonio Spurs,19.96,history
2010,25,Oklahoma City Thunder,-13.78,history
2010,26,Utah Jazz,-73.33,history
2010,27,Washington Wizards,-20.92,history
2010,28,Toronto Raptors,-20.55,history
2010,29,Memphis Grizzlies,-11.87,history
2010,30,Charlotte Hornets,38.76,history
2011,1,Atlanta Hawks,33.46,history
2011,2,Boston Celtics,-24.52,history
2011,3,New Orleans Pelicans,-63.76,history
2011,4,Chicago Bulls,-25.09,history
2011,5,Cleveland Cavaliers,-13.28,history
2011,6,Dallas Mavericks,43.57,history
2011,7,Denver Nuggets,-33.61,history
2011,8,Detroit Pistons,10.47,history
2011,9,Golden State Warriors,-33.1,history
2011,10,Houston Rockets,-16.24,history
2011,11,Indiana Pacers,16.57,history
2011,12,LA Clippers,92.2,history
2011,13,Los Angeles Lakers,-39.76,history
2011,14,Miami Heat,20.1,history
2011,15,Milwaukee Bucks,2.69,history
2011,16,Minnesota Timberwolves,20.27,history
2011,17,Brooklyn Nets,84.45,history
2011,18,New York Knicks,40.39,history
2011,19,Orlando Magic,-12.34,history
2011,20,Philadelphia 76ers,1.68,history
2011,21,Phoenix Suns,-3.09,history
2011,22,Portland Trail Blazers,-29.51,history
2011,23,Sacramento Kings,-12.11,history
2011,24,San Antonio Spurs,0.46,history
2011,25,Oklahoma City Thunder,26.63,history
2011,26,Utah Jazz,-53.95,history
2011,27,Washington Wizards,26.38,history
2011,28,Toronto Raptors,-14.58,history
2011,29,Memphis Grizzlies,-9.87,history
2011,30,Charlotte Hornets,-34.5,history
2012,1,Atlanta Hawks,22.26,history
2012,2,Boston Celtics,-40.4,history
2012,5,Cleveland Cavaliers,20.32,history
2012,6,Dallas Mavericks,-91.08,history
2012,7,Denver Nuggets,31.14,history
2012,8,Detroit Pistons,20.19,history
2012,9,Golden State Warriors,7.18,history
2012,10,Houston Rockets,10.31,history
2012,11,Indiana Pacers,5.99,history
2012,12,LA Clippers,40.0,history
2012,13,Los Angeles Lakers,76.15,history
2012,14,Miami Heat,-26.72,history
2012,15,Milwaukee Bucks,17.72,history
2012,16,Minnesota Timberwolves,46.44,history
2012,17,Brooklyn Nets,1.22,history
2012,18,New York Knicks,26.6,history
2012,19,Orlando Magic,-102.29,history
2012,20,Philadelphia 76ers,-78.47,history
2012,21,Phoenix Suns,-42.69,history
2012,22,Portland Trail Blazers,-22.0,history
2012,23,Sacramento Kings,18.74,history
2012,24,San Antonio Spurs,-11.36,history
2012,25,Oklahoma City Thunder,-5.54,history
2012,26,Utah Jazz,9.25,history
2012,27,Washington Wizards,0.42,history
2012,28,Toronto Raptors,30.29,history
2012,29,Memphis Grizzlies,6.6,history
2012,30,Charlotte Hornets,29.73,history
2013,1,Atlanta Hawks,14.91,history
2013,2,Boston Celtics,-102.99,history
2013,5,Cleveland Cavaliers,39.68,history
2013,6,Dallas Mavericks,-0.13,history
2013,7,Denver Nuggets,-74.51,history
2013,8,Detroit Pistons,144.28,history
2013,9,Golden State Warriors,51.8,history
2013,10,Houston Rockets,83.74,history
2013,11,Indiana Pacers,-3.94,history
2013,12,LA Clippers,-49.35,history
2013,13,Los Angeles Lakers,-121.84,history
2013,14,Miami Heat,-57.48,history
2013,15,Milwaukee Bucks,9.76,history
2013,16,Minnesota Timberwolves,-4.68,history
2013,17,Brooklyn Nets,40.28,history
2013,18,New York Knicks,-68.21,history
2013,19,Orlando Magic,-2.59,history
2013,20,Philadelphia 76ers,25.23,history
2013,21,Phoenix Suns,30.48,history
2013,22,Portland Trail Blazers,-1.0,history
2013,23,Sacramento Kings,8.37,history
2013,24,San Antonio Spurs,-13.35,history
2013,25,Oklahoma City Thunder,-11.03,history
2013,26,Utah Jazz,-17.85,history
2013,27,Washington Wizards,19.35,history
2013,28,Toronto Raptors,-3.15,history
2013,29,Memphis Grizzlies,20.69,history
2013,30,Charlotte Hornets,43.56,history
2014,1,Atlanta Hawks,1.13,history
2014,2,Boston Celtics,-20.37,history
2014,5,Cleveland Cavaliers,138.22,history
2014,6,Dallas Mavericks,-31.19,history
2014,7,Denver Nuggets,-17.84,history
2014,8,Detroit Pistons,-0.91,history
2014,9,Golden State Warriors,-6.74,history
2014,10,Houston Rockets,7.95,history
2014,11,Indiana Pacers,-97.62,history
2014,12,LA Clippers,-8.43,history
2014,13,Los Angeles Lakers,70.45,history
2014,14,Miami Heat,-105.63,history
2014,15,Milwaukee Bucks,3.17,history
2014,16,Minnesota Timberwolves,-28.5,history
2014,17,Brooklyn Nets,-5.13,history
2014,18,New York Knicks,-9.37,history
2014,19,Orlando Magic,47.96,history
2014,20,Philadelphia 76ers,30.72,history
2014,21,Phoenix Suns,-20.91,history
2014,22,Portland Trail Blazers,-5.83,history
2014,23,Sacramento Kings,6.96,history
2014,24,San Antonio Spurs,-24.01,history
2014,25,Oklahoma City Thunder,-35.4,history
2014,26,Utah Jazz,9.31,history
2014,27,Washington Wizards,24.62,history
2014,28,Toronto Raptors,13.55,history
2014,29,Memphis Grizzlies,51.14,history
2014,30,Charlotte Hornets,12.69,history
2015,1,Atlanta Hawks,6.97,history
2015,2,Boston Celtics,62.48,history
2015,5,Cleveland Cavaliers,-10.88,history
2015,6,Dallas Mavericks,-33.96,history
2015,7,Denver Nuggets,19.89,history
2015,8,Detroit Pistons,8.05,history
2015,9,Golden State Warriors,-52.76,history
2015,10,Houston Rockets,-66.76,history
2015,11,Indiana Pacers,-26.1,history
2015,12,LA Clippers,-31.09,history
2015,13,Los Angeles Lakers,16.71,history
2015,14,Miami Heat,10.64,history
2015,15,Milwaukee Bucks,31.92,history
2015,16,Minnesota Timberwolves,-1.82,history
2015,17,Brooklyn Nets,-64.32,history
2015,18,New York Knicks,20.65,history
2015,19,Orlando Magic,-10.02,history
2015,20,Philadelphia 76ers,-6.84,history
2015,21,Phoenix Suns,7.0,history
2015,22,Portland Trail Blazers,7.01,history
2015,23,Sacramento Kings,16.52,history
2015,24,San Antonio Spurs,19.5,history
2015,25,Oklahoma City Thunder,16.68,history
2015,26,Utah Jazz,1.14,history
2015,27,Washington Wizards,-15.11,history
2015,28,Toronto Raptors,-14.75,history
2015,29,Memphis Grizzlies,33.64,history
2015,30,Charlotte Hornets,55.6,history
2016,1,Atlanta Hawks,-14.65,history
2016,2,Boston Celtics,12.69,history
2016,4,Chicago Bulls,22.23,history
2016,5,Cleveland Cavaliers,5.43,history
2016,6,Dallas Mavericks,17.91,history
2016,7,Denver Nuggets,10.55,history
2016,8,Detroit Pistons,-9.04,history
2016,9,Golden State Warriors,41.1,history
2016,10,Houston Rockets,-37.08,history
2016,11,Indiana Pacers,-1.15,history
2016,12,LA Clippers,2.75,history
2016,13,Los Angeles Lakers,6.91,history
2016,14,Miami Heat,-13.21,history
2016,15,Milwaukee Bucks,10.96,history
2016,16,Minnesota Timberwolves,19.15,history
2016,17,Brooklyn Nets,52.75,history
2016,18,New York Knicks,80.61,history
2016,19,Orlando Magic,21.08,history
2016,20,Philadelphia 76ers,8.4,history
2016,21,Phoenix Suns,-11.93,history
2016,22,Portland Trail Blazers,-7.87,history
2016,23,Sacramento Kings,-57.59,history
2016,24,San Antonio Spurs,-53.0,history
2016,25,Oklahoma City Thunder,-92.69,history
2016,26,Utah Jazz,-30.87,history
2016,27,Washington Wizards,-9.57,history
2016,28,Toronto Raptors,-1.82,history
2016,29,Memphis Grizzlies,51.33,history
2016,30,Charlotte Hornets,-23.37,history
2017,1,Atlanta Hawks,-96.71,history
2017,2,Boston Celtics,-25.15,history
2017,5,Cleveland Cavaliers,-15.38,history
2017,6,Dallas Mavericks,-33.78,history
2017,7,Denver Nuggets,45.9,history
2017,8,Detroit Pistons,15.98,history
2017,9,Golden State Warriors,-37.81,history
2017,10,Houston Rockets,58.35,history
2017,11,Indiana Pacers,-87.64,history
2017,12,LA Clippers,-33.12,history
2017,13,Los Angeles Lakers,21.12,history
2017,14,Miami Heat,9.27,history
2017,15,Milwaukee Bucks,7.84,history
2017,16,Minnesota Timberwolves,21.27,history
2017,17,Brooklyn Nets,33.97,history
2017,18,New York Knicks,-15.18,history
2017,19,Orlando Magic,-12.4,history
2017,20,Philadelphia 76ers,50.41,history
2017,21,Phoenix Suns,21.74,history
2017,22,Portland Trail Blazers,-7.23,history
2017,23,Sacramento Kings,22.32,history
2017,24,San Antonio Spurs,-76.33,history
2017,25,Oklahoma City Thunder,18.81,history
2017,26,Utah Jazz,8.43,history
2017,27,Washington Wizards,29.06,history
2017,28,Toronto Raptors,15.23,history
2017,29,Memphis Grizzlies,1.37,history
2017,30,Charlotte Hornets,59.65,history
2018,1,Atlanta Hawks,-14.29,history
2018,2,Boston Celtics,-6.58,history
2018,5,Cleveland Cavaliers,-96.32,history
2018,6,Dallas Mavericks,76.21,history
2018,7,Denver Nuggets,34.33,history
2018,8,Detroit Pistons,60.95,history
2018,9,Golden State Warriors,27.04,history
2018,10,Houston Rockets,2.22,history
2018,11,Indiana Pacers,-0.82,history
2018,12,LA Clippers,-54.59,history
2018,13,Los Angeles Lakers,124.18,history
2018,14,Miami Heat,29.93,history
2018,15,Milwaukee Bucks,4.31,history
